begdate,enddate,pressconf,scheduled
8/1/1958,8/1/1958,0,0
8/4/1958,8/4/1958,0,0
8/19/1958,8/19/1958,0,1
9/9/1958,9/9/1958,0,1
9/30/1958,9/30/1958,0,1
10/21/1958,10/21/1958,0,1
11/10/1958,11/10/1958,0,1
12/2/1958,12/2/1958,0,1
12/16/1958,12/16/1958,0,1
1/6/1959,1/6/1959,0,1
1/27/1959,1/27/1959,0,1
2/10/1959,2/10/1959,0,1
3/3/1959,3/3/1959,0,1
3/24/1959,3/24/1959,0,1
4/14/1959,4/14/1959,0,1
5/5/1959,5/5/1959,0,1
5/26/1959,5/26/1959,0,1
6/16/1959,6/16/1959,0,1
7/7/1959,7/7/1959,0,1
7/28/1959,7/28/1959,0,1
8/18/1959,8/18/1959,0,1
9/1/1959,9/1/1959,0,1
9/22/1959,9/22/1959,0,1
10/13/1959,10/13/1959,0,1
11/4/1959,11/4/1959,0,1
11/24/1959,11/24/1959,0,1
12/15/1959,12/15/1959,0,1
1/12/1960,1/12/1960,0,1
1/26/1960,1/26/1960,0,1
2/9/1960,2/9/1960,0,1
3/1/1960,3/1/1960,0,1
3/22/1960,3/22/1960,0,1
4/12/1960,4/12/1960,0,1
5/3/1960,5/3/1960,0,1
5/24/1960,5/24/1960,0,1
6/14/1960,6/14/1960,0,1
7/6/1960,7/6/1960,0,1
7/26/1960,7/26/1960,0,1
8/16/1960,8/16/1960,0,1
9/13/1960,9/13/1960,0,1
10/4/1960,10/4/1960,0,1
10/25/1960,10/25/1960,0,1
11/22/1960,11/22/1960,0,1
12/13/1960,12/13/1960,0,1
1/10/1961,1/10/1961,0,1
1/24/1961,1/24/1961,0,1
2/7/1961,2/7/1961,0,1
3/7/1961,3/7/1961,0,1
3/28/1961,3/28/1961,0,1
4/18/1961,4/18/1961,0,1
5/9/1961,5/9/1961,0,1
6/6/1961,6/6/1961,0,1
6/20/1961,6/20/1961,0,1
7/11/1961,7/11/1961,0,1
8/1/1961,8/1/1961,0,1
8/22/1961,8/22/1961,0,1
9/12/1961,9/12/1961,0,1
10/3/1961,10/3/1961,0,1
10/24/1961,10/24/1961,0,1
11/14/1961,11/14/1961,0,1
12/5/1961,12/5/1961,0,1
12/19/1961,12/19/1961,0,1
1/9/1962,1/9/1962,0,1
1/23/1962,1/23/1962,0,1
2/13/1962,2/13/1962,0,1
3/6/1962,3/6/1962,0,1
3/27/1962,3/27/1962,0,1
4/17/1962,4/17/1962,0,1
5/8/1962,5/8/1962,0,1
5/29/1962,5/29/1962,0,1
6/19/1962,6/19/1962,0,1
6/21/1962,6/21/1962,0,0
7/10/1962,7/10/1962,0,1
7/31/1962,7/31/1962,0,1
8/21/1962,8/21/1962,0,1
9/11/1962,9/11/1962,0,1
10/2/1962,10/2/1962,0,1
10/23/1962,10/23/1962,0,1
11/13/1962,11/13/1962,0,1
12/4/1962,12/4/1962,0,1
12/18/1962,12/18/1962,0,1
1/8/1963,1/8/1963,0,1
1/29/1963,1/29/1963,0,1
2/12/1963,2/12/1963,0,1
3/5/1963,3/5/1963,0,1
3/26/1963,3/26/1963,0,1
4/16/1963,4/16/1963,0,1
5/7/1963,5/7/1963,0,1
5/28/1963,5/28/1963,0,1
6/18/1963,6/18/1963,0,1
7/9/1963,7/9/1963,0,1
7/30/1963,7/30/1963,0,1
8/20/1963,8/20/1963,0,1
9/10/1963,9/10/1963,0,1
10/1/1963,10/1/1963,0,1
10/22/1963,10/22/1963,0,1
11/12/1963,11/12/1963,0,1
11/26/1963,11/26/1963,0,0
12/3/1963,12/3/1963,0,1
12/17/1963,12/17/1963,0,1
1/7/1964,1/7/1964,0,1
1/28/1964,1/28/1964,0,1
2/11/1964,2/11/1964,0,1
3/3/1964,3/3/1964,0,1
3/24/1964,3/24/1964,0,1
4/14/1964,4/14/1964,0,1
5/5/1964,5/5/1964,0,1
5/26/1964,5/26/1964,0,1
6/17/1964,6/17/1964,0,1
7/7/1964,7/7/1964,0,1
7/28/1964,7/28/1964,0,1
8/18/1964,8/18/1964,0,1
9/8/1964,9/8/1964,0,1
9/29/1964,9/29/1964,0,1
10/20/1964,10/20/1964,0,1
11/10/1964,11/10/1964,0,1
11/24/1964,11/24/1964,0,0
12/1/1964,12/1/1964,0,1
12/15/1964,12/15/1964,0,1
1/12/1965,1/12/1965,0,1
2/2/1965,2/2/1965,0,1
3/2/1965,3/2/1965,0,1
3/23/1965,3/23/1965,0,1
4/13/1965,4/13/1965,0,1
5/11/1965,5/11/1965,0,1
5/25/1965,5/25/1965,0,1
6/15/1965,6/15/1965,0,1
7/13/1965,7/13/1965,0,1
8/10/1965,8/10/1965,0,1
8/31/1965,8/31/1965,0,1
9/8/1965,9/8/1965,0,0
9/28/1965,9/28/1965,0,1
10/12/1965,10/12/1965,0,1
11/2/1965,11/2/1965,0,1
11/4/1965,11/4/1965,0,0
11/23/1965,11/23/1965,0,1
12/14/1965,12/14/1965,0,1
1/11/1966,1/11/1966,0,1
2/8/1966,2/8/1966,0,1
3/1/1966,3/1/1966,0,1
3/22/1966,3/22/1966,0,1
4/12/1966,4/12/1966,0,1
5/10/1966,5/10/1966,0,1
6/7/1966,6/7/1966,0,1
6/28/1966,6/28/1966,0,1
7/11/1966,7/11/1966,0,0
7/26/1966,7/26/1966,0,1
8/23/1966,8/23/1966,0,1
9/13/1966,9/13/1966,0,1
10/4/1966,10/4/1966,0,1
11/1/1966,11/1/1966,0,1
11/22/1966,11/22/1966,0,1
12/13/1966,12/13/1966,0,1
1/10/1967,1/10/1967,0,1
2/7/1967,2/7/1967,0,1
3/7/1967,3/7/1967,0,1
4/4/1967,4/4/1967,0,1
5/2/1967,5/2/1967,0,1
5/23/1967,5/23/1967,0,1
6/20/1967,6/20/1967,0,1
7/18/1967,7/18/1967,0,1
8/15/1967,8/15/1967,0,1
9/12/1967,9/12/1967,0,1
10/3/1967,10/3/1967,0,1
10/24/1967,10/24/1967,0,1
11/14/1967,11/14/1967,0,1
11/27/1967,11/27/1967,0,1
12/12/1967,12/12/1967,0,1
1/9/1968,1/9/1968,0,1
2/6/1968,2/6/1968,0,1
3/5/1968,3/5/1968,0,1
3/14/1968,3/14/1968,0,0
4/2/1968,4/2/1968,0,1
4/19/1968,4/19/1968,0,0
4/30/1968,4/30/1968,0,1
5/28/1968,5/28/1968,0,1
6/18/1968,6/18/1968,0,1
7/16/1968,7/16/1968,0,1
8/13/1968,8/13/1968,0,1
8/19/1968,8/19/1968,0,0
9/10/1968,9/10/1968,0,1
10/8/1968,10/8/1968,0,1
10/29/1968,10/29/1968,0,1
11/26/1968,11/26/1968,0,1
12/17/1968,12/17/1968,0,1
1/14/1969,1/14/1969,0,1
2/4/1969,2/4/1969,0,1
3/4/1969,3/4/1969,0,1
4/1/1969,4/1/1969,0,1
4/29/1969,4/29/1969,0,1
5/27/1969,5/27/1969,0,1
6/24/1969,6/24/1969,0,1
7/15/1969,7/15/1969,0,1
8/12/1969,8/12/1969,0,1
9/9/1969,9/9/1969,0,1
10/7/1969,10/7/1969,0,1
10/28/1969,10/28/1969,0,1
11/25/1969,11/25/1969,0,1
12/16/1969,12/16/1969,0,1
1/15/1970,1/15/1970,0,1
2/10/1970,2/10/1970,0,1
3/10/1970,3/10/1970,0,1
4/7/1970,4/7/1970,0,1
5/5/1970,5/5/1970,0,1
5/26/1970,5/26/1970,0,1
6/23/1970,6/23/1970,0,1
7/21/1970,7/21/1970,0,1
8/18/1970,8/18/1970,0,1
9/15/1970,9/15/1970,0,1
10/20/1970,10/20/1970,0,1
11/17/1970,11/17/1970,0,1
12/15/1970,12/15/1970,0,1
1/12/1971,1/12/1971,0,1
2/9/1971,2/9/1971,0,1
3/9/1971,3/9/1971,0,1
4/6/1971,4/6/1971,0,1
5/11/1971,5/11/1971,0,1
6/8/1971,6/8/1971,0,1
6/29/1971,6/29/1971,0,1
7/27/1971,7/27/1971,0,1
8/24/1971,8/24/1971,0,1
9/21/1971,9/21/1971,0,1
10/19/1971,10/19/1971,0,1
11/16/1971,11/16/1971,0,1
12/14/1971,12/14/1971,0,1
1/11/1972,1/11/1972,0,1
