"","Date","ret1","C","ret2","algo_ret"
"1",2010-01-11,0.000958333338300385,191.52,0,0.000958333338300385
"2",2010-01-12,-0.00104166674117247,191.52,0,-0.00104166674117247
"3",2010-01-13,0.00170833338052034,191.51,0,0.00170833338052034
"4",2010-01-14,0.000374999999379118,191.52,5.22165944338848e-05,0.000421994934369615
"5",2010-01-15,0.000416666669771075,191.51,0,0.000416666669771075
"6",2010-01-19,0.000850000075995921,191.51,0,0.000850000075995921
"7",2010-01-20,0.000349999990314245,191.51,0,0.000349999990314245
"8",2010-01-21,-0.0003000000230968,191.51,0,-0.0003000000230968
"9",2010-01-22,0.000600000016391277,191.52,5.22165944338848e-05,0.000646994951381774
"10",2010-01-25,0.00260000011138618,191.52,0,0.00260000011138618
"11",2010-01-26,0.000749999981373549,191.51,0,0.000749999981373549
"12",2010-01-27,0.000225000001490116,191.52,5.22165944338848e-05,0.000271994936480612
"13",2010-01-28,0.00012500000372529,191.52,0,0.00012500000372529
"14",2010-01-29,2.5000000372529e-05,191.52,0,2.5000000372529e-05
"15",2010-02-01,0.00263333338250717,191.51,0,0.00263333338250717
"16",2010-02-02,0.000266666675607363,191.51,0,0.000266666675607363
"17",2010-02-03,0.000133333340287209,191.51,0,0.000133333340287209
"18",2010-02-04,-6.66666676600774e-05,191.51,0,-6.66666676600774e-05
"19",2010-02-05,0.000233333336810271,191.51,0,0.000233333336810271
"20",2010-02-08,0.00130000004172325,191.51,0,0.00130000004172325
"21",2010-02-09,0.00104999995976686,191.51,0,0.00104999995976686
"22",2010-02-10,0.00044999996945262,191.52,5.22165944338848e-05,0.000496994904443116
"23",2010-02-11,0.000100000005215406,191.52,0,0.000100000005215406
"24",2010-02-12,0,191.52,0,0
"25",2010-02-16,0.00375000009934109,191.52,0,0.00375000009934109
"26",2010-02-17,0.000583333360652129,191.52,0,0.000583333360652129
"27",2010-02-18,0.000333333325882753,191.52,0,0.000333333325882753
"28",2010-02-19,0,191.52,0,0
"29",2010-02-22,0.00209999990463259,191.52,0,0.00209999990463259
"30",2010-02-23,-0.00509999978542328,191.52,0,-0.00509999978542328
"31",2010-02-24,0.0066999998986721,191.52,0,0.0066999998986721
